basin_name,location,SUB_REGIME_GROUP,SUB_REGIME,PET_SYS_STATUS
Faroe - Shetland Escarpment,Offshore,Divergent Basin,Passive Margin,Discoveries
Porcupine,Offshore,Divergent Basin,Passive Margin,Discoveries
North Lewis,Offshore,Divergent Basin,Post-rift Sag,
South Celtic Sea,Offshore,Divergent Basin,Post-rift Sag,
Blake Plateau Ultradeep,Offshore,Divergent Basin,Passive Margin,
Doukkala Ultradeep,Offshore,Divergent Basin,Passive Margin,
Central Trough,Offshore,Divergent Basin,Post-rift Sag,
Andaman Sea,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Great South,Offshore,Divergent Basin,Intracratonic Sag,Discoveries
South Falkland,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Discoveries
Raukumara Offshore,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),Unproven
Canaries,Offshore,Divergent Basin,Passive Margin,
Ogasawa,Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Mozambique Channel Ultradeep,Offshore,Divergent Basin,Passive Margin,
Rio Muni Ultradeep,Offshore,Divergent Basin,Passive Margin,
Sergipe - Alagoas Ultradeep,Offshore,Divergent Basin,Passive Margin,
Tukang Besi,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Northern North Sea,Offshore,Divergent Basin,Intracratonic Sag,Producing fields
Aaiun - Tarfaya Ultradeep,Offshore,Divergent Basin,Passive Margin,
Douala Ultradeep,Offshore,Divergent Basin,Passive Margin,
Armorican,Offshore,Divergent Basin,Passive Margin,
Voring,Offshore,Divergent Basin,Passive Margin,Producing fields
Jeanne d' Arc,Offshore,Divergent Basin,Passive Margin,Producing fields
Flannan - Lewis,Offshore,Divergent Basin,Passive Margin,Discoveries
Tomori,Offshore,Divergent Basin,Rift,Producing fields
Whale,Offshore,Divergent Basin,Passive Margin,Unproven
Orphan,Offshore,Divergent Basin,Passive Margin,Unproven
Salar Ultradeep,Offshore,Divergent Basin,Passive Margin,
Dangerous Grounds,Offshore,Divergent Basin,Passive Margin,Unknown
Sulu Sea,Offshore,Convergent (Continent-Continent) Basin,Trapped Oceanic Crustal Sag (Continent - Continent),Absent
Cyprus,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Unproven
Eratosthenes Platform,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Scotian Shelf,Offshore,Divergent Basin,Passive Margin,Producing fields
East China Sea,Offshore,Divergent Basin,Post-rift Sag,Producing fields
Qiongdongnan,Offshore,Divergent Basin,Passive Margin,Producing fields
Xisha,Offshore,Divergent Basin,Passive Margin,Unknown
Zhongsha Plateau,Offshore,Divergent Basin,Passive Margin,Unknown
Navarin,Offshore,Wrench Basin,Wrench (Ocean - Continent),Unproven
South Sea of Okhotsk,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Unknown
Browse,Offshore,Divergent Basin,Passive Margin,Producing fields
North Kara Sea,Offshore,Divergent Basin,Passive Margin,Unknown
Bonaire,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Unproven
Cariaco,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Discoveries
Los Roques,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unproven
West Florida,Offshore,Divergent Basin,Passive Margin,Unknown
Peel,Offshore,Divergent Basin,Post-rift Sag,
Ringkobing-Fyn High,Offshore,Divergent Basin,Post-rift Sag,Minor shows in wells
Flannan Trough,Offshore,Divergent Basin,Passive Margin,
Algerian Sea,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Alboran Sea,Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Komandorsky,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),
Deepwater Taranaki,Offshore,Divergent Basin,Passive Margin,Unproven
Townsville,Offshore,Divergent Basin,Post-rift Sag,Unknown
Lord Howe Rise,Offshore,Divergent Basin,Passive Margin,Unknown
Para - Maranhao,Offshore,Divergent Basin,Passive Margin,Discoveries
Malay,Offshore,Divergent Basin,Post-rift Sag,Producing fields
Phu Khanh,Offshore,Divergent Basin,Passive Margin,Discoveries
Saya De Malha Bank,Offshore,Divergent Basin,Passive Margin,Unproven
Great Australian Bight,Offshore,Divergent Basin,Passive Margin,Minor shows in wells
New Caledonia,Offshore,Divergent Basin,Passive Margin,Significant shows
Mollendo,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unproven
Pukaki,Offshore,Divergent Basin,Passive Margin,Unproven
Brisbane,Offshore,Divergent Basin,Passive Margin,Unknown
Cupica,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unknown
Panama - Costa Rica,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Foreland (Ocean - Ocean),Unproven
Sorell,Offshore,Divergent Basin,Passive Margin with Inversion,Minor shows in wells
Bremer,Offshore,Divergent Basin,Passive Margin,Unknown
Queensland,Offshore,Divergent Basin,Post-rift Sag,Unknown
East Tasman Plateau,Offshore,Divergent Basin,Passive Margin,Unproven
Kenn Plateau,Offshore,Divergent Basin,Passive Margin,Unproven
Rockall Trough,Offshore,Divergent Basin,Passive Margin,Discoveries
Slyne - Erris,Offshore,Divergent Basin,Passive Margin,Discoveries
Columbus,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Producing fields
Grenada,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),Unproven
Salabanga Manui,Offshore,Divergent Basin,Rift,Unknown
Falkland Plateau,Offshore,Divergent Basin,Passive Margin,Discoveries
Punta Del Este,Offshore,Divergent Basin,Passive Margin,Unknown
Malvinas,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Discoveries
Labrador Shelf,Offshore,Divergent Basin,Passive Margin,Discoveries
South Caribbean Deformation Belt Ultradeep,Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Nam Con Son,Offshore,Divergent Basin,Post-rift Sag,Producing fields
West Natuna - Penyu,Offshore,Divergent Basin,Post-rift Sag,Producing fields
Biliton,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Unproven
Lamu Embayment Ultradeep,Offshore,Divergent Basin,Passive Margin,
Offshore Indus Ultradeep,Offshore,Divergent Basin,Passive Margin,
Indian Ocean Abyssal,Offshore,Divergent Basin,Passive Margin,
Kachchh - Mumbai Ultradeep,Offshore,Divergent Basin,Passive Margin,
Mumbai - Konkan Ultradeep,Offshore,Divergent Basin,Passive Margin,
Mannar Ultradeep,Offshore,Divergent Basin,Passive Margin,
Outer Bengal Fan,Offshore,Divergent Basin,Passive Margin,
Northeast Sea of Okhotsk,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Unproven
Northwest Sea of Okhotsk,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Unknown
North Chukchi,Offshore,Divergent Basin,Post-rift Sag,Unknown
Nazareth Bank,Offshore,Divergent Basin,Passive Margin,Unproven
Fiordland,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Unknown
Bellona,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Unknown
Kwanza Ultradeep,Offshore,Divergent Basin,Passive Margin,
Leeward Ultradeep,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Foreland (Ocean - Ocean),
Liberia Ultradeep,Offshore,Divergent Basin,Passive Margin,
Majunga Ultradeep,Offshore,Divergent Basin,Passive Margin,
Niger Fan Ultradeep,Offshore,Divergent Basin,Passive Margin,
Orange Fan Ultradeep,Offshore,Divergent Basin,Passive Margin,
Pelotas Ultradeep,Offshore,Divergent Basin,Passive Margin,
Punta del Este Ultradeep,Offshore,Divergent Basin,Passive Margin,
Rawson Ultradeep,Offshore,Divergent Basin,Passive Margin,
Rovuma Ultradeep,Offshore,Divergent Basin,Passive Margin,
Salado Ultradeep,Offshore,Divergent Basin,Passive Margin,
Santa Catarina Ultradeep,Offshore,Divergent Basin,Passive Margin,
Santos Ultradeep,Offshore,Divergent Basin,Passive Margin,
Senegal - Bove Ultradeep,Offshore,Divergent Basin,Passive Margin,
Colombia Ultradeep,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Tanzanian Coastal Ultradeep,Offshore,Divergent Basin,Passive Margin,
North Haiti Offshore,Offshore,Wrench Basin,Wrench (Ocean - Continent),
Los Cayos,Offshore,Wrench Basin,Wrench (Ocean - Continent),Unproven
Auckland - Campbell,Offshore,Divergent Basin,Passive Margin,Unproven
Khmer,Offshore,Divergent Basin,Post-rift Sag,Discoveries
Rawson,Offshore,Divergent Basin,Passive Margin,Unproven
San Julian,Offshore,Divergent Basin,Passive Margin,Unknown
North Falkland,Offshore,Divergent Basin,Passive Margin,Discoveries
West Orkney,Offshore,Divergent Basin,Post-rift Sag,
Tagus Abyssal Plain,Offshore,Divergent Basin,Passive Margin,
Southeast Rockall,Offshore,Divergent Basin,Passive Margin,
Fastnet,Offshore,Divergent Basin,Post-rift Sag,
Hatton Bank,Offshore,Divergent Basin,Passive Margin,
Munken,Offshore,Divergent Basin,Passive Margin,
Western Approaches,Offshore,Divergent Basin,Post-rift Sag,
Shackleton,Offshore,Divergent Basin,Passive Margin,
Cockburn,Offshore,Divergent Basin,Post-rift Sag,
Spanish Trough,Offshore,Divergent Basin,Post-rift Sag,
Central Graben,Offshore,Divergent Basin,Post-rift Sag,Producing fields
Mid North Sea High,Offshore,Divergent Basin,Post-rift Sag,Unproven
Saba Bank,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Post-extensional Sag (Ocean - Ocean),Unproven
Argentine Abyssal,Offshore,Divergent Basin,Passive Margin,
Bahia Norte Ultradeep,Offshore,Divergent Basin,Passive Margin,
Bahia Sul Ultradeep,Offshore,Divergent Basin,Passive Margin,
Baltimore Canyon Ultradeep,Offshore,Divergent Basin,Passive Margin,
Barreirinhas Ultradeep,Offshore,Divergent Basin,Passive Margin,
Carolina Trough Ultradeep,Offshore,Divergent Basin,Passive Margin,
Colorado Ultradeep,Offshore,Divergent Basin,Passive Margin,
Congo Fan Ultradeep,Offshore,Divergent Basin,Passive Margin,
Cote d'Ivoire Ultradeep,Offshore,Divergent Basin,Passive Margin,
Espirito Santo Ultradeep,Offshore,Divergent Basin,Passive Margin,
Foz do Amazonas Ultradeep,Offshore,Divergent Basin,Passive Margin,
Gabon Ultradeep,Offshore,Divergent Basin,Passive Margin,
Georges Bank Ultradeep,Offshore,Divergent Basin,Passive Margin,
Guyana Ultradeep,Offshore,Divergent Basin,Passive Margin,
Shuangfeng,Offshore,Divergent Basin,Passive Margin,
Flores,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent) with Inversion,Unknown
Savu,Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),Unknown
Gorontalo,Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),Unknown
St. Matthew,Offshore,Divergent Basin,Rift,
Canal,Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),Unknown
Winona,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Tyee,Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Bijia,Offshore,Divergent Basin,Rift,
Tokara,Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),
More,Offshore,Divergent Basin,Passive Margin,Producing fields
West Shetland,Offshore,Divergent Basin,Passive Margin,Producing fields
Nendo,Offshore,Convergent (Ocean-Ocean) Basin,Arc-related Wrench (Ocean - Ocean),
Capricorn,Offshore,Divergent Basin,Post-rift Sag,Unproven
Arseniev,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Amadeus,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
Xingu,Onshore,Divergent Basin,Intracratonic Sag,Unproven
Volta,Onshore,Divergent Basin,Intracratonic Sag,Minor shows in wells
Greater Khorat,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
Kohat - Potwar Foldbelt,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Narmada,Onshore,Divergent Basin,Passive Margin,Unproven
Palmyride Foldbelt,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Sulaiman Foldbelt,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Benue Trough,Onshore,Divergent Basin,Post-rift Sag,Discoveries
Central African Rift,Onshore,Divergent Basin,Post-rift Sag,Producing fields
Muglad - Sudd Rift,Onshore,Divergent Basin,Post-rift Sag,Producing fields
Molasse,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Central European,Onshore,Divergent Basin,Post-rift Sag,Producing fields
Rhine Graben,Onshore,Divergent Basin,Rift,
Puna,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Unknown
Lanping - Simao,Onshore,Wrench Basin,Intracratonic Wrench,
Umatilla,Onshore,Divergent Basin,Rift,
Dalhart,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Zaire,Onshore,Divergent Basin,Intracratonic Sag,Hydrocarbon seeps
Tucano,Onshore,Divergent Basin,Rift,Discoveries
Val Verde,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Forest City,Onshore,Divergent Basin,Intracratonic Sag,
Darling,Onshore,Divergent Basin,Intracratonic Sag,Unproven
Powder River,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),
Xiangyin,Onshore,Divergent Basin,Rift,
Wind River,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Washakie,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Bear Lake,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),
Angola Interior,Onshore,Divergent Basin,Intracratonic Sag,Minor shows in wells
Bechar,Onshore,Divergent Basin,Intracratonic Sag,Unproven
Murzuq,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
Sahara,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Balkhash - Alakol,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Unknown
Sepik - Ramu,Onshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unproven
Illinois,Onshore,Divergent Basin,Intracratonic Sag,
Macachin,Onshore,Divergent Basin,Post-rift Sag,Unproven
Snake River,Onshore,Divergent Basin,Rift,
Minchumina,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Denver,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),
Eromanga,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
South Texas Salt Dome,Onshore,Divergent Basin,Passive Margin,
Western Overthrust,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
San Juan,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Jatoba,Onshore,Divergent Basin,Post-rift Sag,Unproven
Catlow,Onshore,Divergent Basin,Rift,
Maoming,Onshore,Divergent Basin,Rift,
Kechika,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Black Mesa,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Copper River,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Luangwa Rift,Onshore,Divergent Basin,Rift,Unproven
Changtao,Onshore,Divergent Basin,Rift,
Albert - Edward Rift,Onshore,Divergent Basin,Rift,Discoveries
Atbara Rift,Onshore,Divergent Basin,Post-rift Sag,Unknown
Liard,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Ngalia,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Significant shows
Uinta,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Indigirka - Zyryanka - Momo,Onshore,Divergent Basin,Rift,
Orogrande,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),
Satpura,Onshore,Divergent Basin,Intracratonic Sag,
Salina,Onshore,Divergent Basin,Intracratonic Sag,
Araripe,Onshore,Divergent Basin,Post-rift Sag,Unproven
Kerr,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
North Park,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Great Basin and Range,Onshore,Divergent Basin,Rift,
Harney,Onshore,Divergent Basin,Rift,
Chad,Onshore,Divergent Basin,Intracratonic Sag,Unknown
Bowen - Surat,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
Mackenzie Plains - Root,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
South Park,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Big Horn,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Laramie - Hanna - Shirley,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Fort Worth,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Tucumcari,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),
Bose,Onshore,Divergent Basin,Rift,
Tanganyika Rift,Onshore,Divergent Basin,Rift,Unproven
Taubate,Onshore,Divergent Basin,Rift,Unknown
Kivu Rift,Onshore,Divergent Basin,Rift,Unknown
Chuxiong,Onshore,Wrench Basin,Intracratonic Wrench,
Hardeman,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Kaiporowits,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Paradox,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Bowser,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Aurora Subglacial,Onshore,Divergent Basin,Post-rift Sag,
Volga - Urals,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Black Warrior,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
North Louisiana Salt,Onshore,Divergent Basin,Passive Margin,
Ardmore - Marieta,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
San Joaquin,Onshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Eyasi - Wembere - South Gregory Rift,Onshore,Divergent Basin,Rift,Unknown
Lake Superior,Onshore,Divergent Basin,Intracratonic Sag,
East Texas Salt,Onshore,Divergent Basin,Passive Margin,
Aldan High,Onshore,Wrench Basin,Intracratonic Wrench,Minor shows in wells
Anabar - Olenek High,Onshore,Divergent Basin,Intracratonic Sag,Minor shows in wells
Baykit High,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
Tunguska,Onshore,Divergent Basin,Intracratonic Sag,Discoveries
Yenisey/Bor Sub-basin - West Siberia,Onshore,Divergent Basin,Post-rift Sag,Minor shows in wells
Qaidam,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Songliao,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Producing fields
Minhe,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Hexi,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Ordos,Onshore,Wrench Basin,Intracratonic Wrench,Producing fields
Jianghan,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Producing fields
Nanxiang,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Producing fields
Yitong,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Producing fields
Upper Bureya,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Discoveries
Shanxi,Onshore,Wrench Basin,Intracratonic Wrench,Discoveries
Hailar,Onshore,Wrench Basin,Intracratonic Wrench,Producing fields
Sabinas,Onshore,Divergent Basin,Passive Margin,Producing fields
Sab'atayn,Onshore,Divergent Basin,Post-rift Sag,Producing fields
Say'un - Al Masila,Onshore,Divergent Basin,Passive Margin,Producing fields
Pedregosa - Chihuahua,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Selwyn,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Duero,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Crazy Mountains,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),
Yakima,Onshore,Divergent Basin,Rift,
Nechako - Tyaughton,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Anadarko - Hugoton,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Eagle,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Rio Grande,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Tindouf,Onshore,Divergent Basin,Intracratonic Sag,Minor shows in wells
Sao Francisco,Onshore,Divergent Basin,Intracratonic Sag,Minor shows in wells
Beni Mellal,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Minor shows in wells
Chu Sarysu,Onshore,Divergent Basin,Intracratonic Sag,Discoveries
Fergana,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Junggar,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Syr-Dar'ya,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Unproven
Teniz,Onshore,Divergent Basin,Intracratonic Sag,Discoveries
West Tien Shan Intermontane,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Unproven
Zaysan,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Nirihuau,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Unknown
Oriente,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Santa Cruz,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Ucayali,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Upper Magdalena Valley,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Melawi,Onshore,Divergent Basin,Rift,Unknown
Ombilin,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Discoveries
Armenia,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Erzurum - Mus-Hinis,Onshore,Convergent (Continent-Continent) Basin,Intramontane Wrench (Continent - Continent),Unproven
Vardar - Balkans,Onshore,Convergent (Continent-Continent) Basin,Intramontane Wrench (Continent - Continent),Discoveries
Southern Carpathians,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Assam,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Ganga Sub-basin - Indo-Gangetic,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Hydrocarbon seeps
Kashmir Valley,Onshore,Convergent (Continent-Continent) Basin,Intramontane Wrench (Continent - Continent),Minor shows in wells
Lunpola,Onshore,Convergent (Continent-Continent) Basin,Intramontane Wrench (Continent - Continent),Discoveries
Punjab Sub-basin - Indo-Gangetic,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Rewa,Onshore,Divergent Basin,Rift,Unproven
Xigaze,Onshore,Convergent (Continent-Continent) Basin,Intramontane Wrench (Continent - Continent),Hydrocarbon seeps
Cuyo,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Llanos,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Madre de Dios,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Discoveries
Maracaibo,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Middle Magdalena Valley,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Neuquen,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Solimoes,Onshore,Divergent Basin,Post-rift Sag,Producing fields
Murray,Onshore,Divergent Basin,Intracratonic Sag,Unproven
Atacama,Onshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Minor shows in wells
Illumeden,Onshore,Divergent Basin,Intracratonic Sag,Unproven
Takutu Graben,Onshore,Divergent Basin,Post-rift Sag,Discoveries
Officer,Onshore,Divergent Basin,Intracratonic Sag,Significant shows
Georgina,Onshore,Divergent Basin,Intracratonic Sag,Unknown
Parana,Onshore,Divergent Basin,Post-rift Sag with Inversion,Producing fields
Altiplano,Onshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Hydrocarbon seeps
Tapajos,Onshore,Divergent Basin,Intracratonic Sag,Unknown
Okavango,Onshore,Divergent Basin,Intracratonic Sag,Unknown
Kalahari,Onshore,Divergent Basin,Intracratonic Sag,Hydrocarbon seeps
Parecis,Onshore,Divergent Basin,Post-rift Sag,Unknown
Clarence - Moreton,Onshore,Divergent Basin,Rift,Significant shows
Middle and Lower Zambezi,Onshore,Divergent Basin,Post-rift Sag,Minor shows in wells
Taoudenni,Onshore,Divergent Basin,Intracratonic Sag,Minor shows in wells
Linares - Temuco - Los Angeles,Onshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Minor shows in wells
Amazonas,Onshore,Divergent Basin,Post-rift Sag,Producing fields
North Turgay,Onshore,Divergent Basin,Post-rift Sag,Unproven
White Nile Rift,Onshore,Divergent Basin,Post-rift Sag,Unproven
Nepa - Botuoba,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
Ketungau,Onshore,Divergent Basin,Rift,Unknown
Vindhyan,Onshore,Divergent Basin,Rift,Discoveries
Damodar,Onshore,Divergent Basin,Intracratonic Sag,Producing fields
Afghan - Tajik,Onshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Son Mahanadi,Onshore,Divergent Basin,Intracratonic Sag,Unknown
